n,arch,status,test_rmse,elapsed_sec,data_train_fraction,seed
52,EDR,ok,0.063636,0,1,42
1,EDR,ok,0.063812,0,1,42
132,FNN,ok,0.080354,0,1,42
131,FNN,ok,0.080411,0,1,42
100,FNN,ok,0.080467,0,1,42
99,FNN,ok,0.080726,0,1,42
98,FNN,ok,0.080924,0,1,42
97,FNN,ok,0.081062,0,1,42
96,FNN,ok,0.081269,0,1,42
95,FNN,ok,0.081359,0,1,42
94,FNN,ok,0.081721,0,1,42
93,FNN,ok,0.08211,0,1,42
92,FNN,ok,0.082256,0,1,42
91,FNN,ok,0.082402,0,1,42
90,FNN,ok,0.082915,0,1,42
89,FNN,ok,0.083319,0,1,42
88,FNN,ok,0.083423,0,1,42
87,FNN,ok,0.083441,0,1,42
86,FNN,ok,0.083517,0,1,42
85,FNN,ok,0.084095,0,1,42
84,FNN,ok,0.084249,0,1,42
83,FNN,ok,0.084542,0,1,42
82,FNN,ok,0.084621,0,1,42
81,FNN,ok,0.084792,0,1,42
80,FNN,ok,0.085103,0,1,42
79,FNN,ok,0.085111,0,1,42
78,FNN,ok,0.085371,0,1,42
77,FNN,ok,0.08555,0,1,42
76,FNN,ok,0.085714,0,1,42
75,FNN,ok,0.086104,0,1,42
74,FNN,ok,0.086238,0,1,42
101,FNN,ok,0.086543,0,1,42
102,FNN,ok,0.08656,0,1,42
103,FNN,ok,0.08697,0,1,42
118,FNN,ok,0.087161,0,1,42
130,FNN,ok,0.08764,0,1,42
129,FNN,ok,0.087838,0,1,42
128,FNN,ok,0.088148,0,1,42
127,FNN,ok,0.088198,0,1,42
126,FNN,ok,0.088405,0,1,42
125,FNN,ok,0.088719,0,1,42
124,FNN,ok,0.088983,0,1,42
123,FNN,ok,0.08917,0,1,42
122,FNN,ok,0.089188,0,1,42
121,FNN,ok,0.089267,0,1,42
120,FNN,ok,0.089489,0,1,42
119,FNN,ok,0.089607,0,1,42
117,FNN,ok,0.090079,0,1,42
104,FNN,ok,0.090197,0,1,42
116,FNN,ok,0.090517,0,1,42
115,FNN,ok,0.09099,0,1,42
114,FNN,ok,0.091149,0,1,42
113,FNN,ok,0.091506,0,1,42
112,FNN,ok,0.091598,0,1,42
111,FNN,ok,0.091888,0,1,42
110,FNN,ok,0.091905,0,1,42
109,FNN,ok,0.091996,0,1,42
108,FNN,ok,0.092235,0,1,42
107,FNN,ok,0.092661,0,1,42
106,FNN,ok,0.093144,0,1,42
105,FNN,ok,0.093236,0,1,42
73,FNN,ok,0.09373,0,1,42
180,Physics-Reg.,ok,0.0814,0,1,42
179,Physics-Reg.,ok,0.08144,0,1,42
154,Physics-Reg.,ok,0.081968,0,1,42
153,Physics-Reg.,ok,0.082129,0,1,42
152,Physics-Reg.,ok,0.082309,0,1,42
151,Physics-Reg.,ok,0.082608,0,1,42
150,Physics-Reg.,ok,0.082686,0,1,42
149,Physics-Reg.,ok,0.082833,0,1,42
148,Physics-Reg.,ok,0.083198,0,1,42
147,Physics-Reg.,ok,0.08327,0,1,42
146,Physics-Reg.,ok,0.083484,0,1,42
145,Physics-Reg.,ok,0.083956,0,1,42
144,Physics-Reg.,ok,0.084595,0,1,42
143,Physics-Reg.,ok,0.084653,0,1,42
142,Physics-Reg.,ok,0.084676,0,1,42
141,Physics-Reg.,ok,0.084953,0,1,42
140,Physics-Reg.,ok,0.084998,0,1,42
139,Physics-Reg.,ok,0.08506,0,1,42
138,Physics-Reg.,ok,0.085117,0,1,42
137,Physics-Reg.,ok,0.085295,0,1,42
136,Physics-Reg.,ok,0.085334,0,1,42
135,Physics-Reg.,ok,0.085678,0,1,42
134,Physics-Reg.,ok,0.085817,0,1,42
155,Physics-Reg.,ok,0.086076,0,1,42
156,Physics-Reg.,ok,0.08616,0,1,42
157,Physics-Reg.,ok,0.086286,0,1,42
169,Physics-Reg.,ok,0.086294,0,1,42
178,Physics-Reg.,ok,0.086638,0,1,42
177,Physics-Reg.,ok,0.086877,0,1,42
176,Physics-Reg.,ok,0.086964,0,1,42
175,Physics-Reg.,ok,0.087194,0,1,42
174,Physics-Reg.,ok,0.087514,0,1,42
173,Physics-Reg.,ok,0.087736,0,1,42
172,Physics-Reg.,ok,0.087749,0,1,42
171,Physics-Reg.,ok,0.088292,0,1,42
170,Physics-Reg.,ok,0.088463,0,1,42
168,Physics-Reg.,ok,0.088487,0,1,42
158,Physics-Reg.,ok,0.088862,0,1,42
167,Physics-Reg.,ok,0.088952,0,1,42
166,Physics-Reg.,ok,0.088996,0,1,42
165,Physics-Reg.,ok,0.088997,0,1,42
164,Physics-Reg.,ok,0.089102,0,1,42
163,Physics-Reg.,ok,0.089275,0,1,42
162,Physics-Reg.,ok,0.089515,0,1,42
161,Physics-Reg.,ok,0.089813,0,1,42
160,Physics-Reg.,ok,0.090209,0,1,42
159,Physics-Reg.,ok,0.090313,0,1,42
133,Physics-Reg.,ok,0.090361,0,1,42
